,Representation,Count
185,"['tobacco', 'vaping', 'nicotine', 'cigarette', 'smoking', 'marijuana', 'cannabis', 'smokers', 'vape', 'weed']",17
186,"['singer', 'lucinda', 'jewel', 'songwriter', 'katy', 'vocalist', 'jewels', 'musician', 'lyrics', 'songs']",17
187,"['immigration', 'deportation', 'migrants', 'immigrants', 'deported', 'reunite', 'migrant', 'reunited', 'refugee', 'families']",17
188,"['opera', 'operas', 'orchestra', 'soprano', 'wagner', 'met', 'recital', 'headlining', 'baritone', 'staging']",17
189,"['racism', 'parents', 'homecoming', 'homecomings', 'race', 'white', 'education', 'family', 'alumni', 'reunion']",17
190,"['uber', 'taxis', 'lyft', 'taxi', 'gig', 'contractors', 'labor', 'rides', 'hires', 'companies']",17
191,"['bikes', 'bicycles', 'bicycle', 'bike', 'bicyclecar', 'biking', 'bikefriendly', 'bikeshare', 'cycling', 'ebike']",17
192,"['faucis', 'fauci', 'infectious', 'dr', 'trump', 'diseases', 'disease', 'virus', 'president', 'specialist']",17
193,"['neighborhoods', 'neighborhood', 'housing', 'homeless', 'suburb', 'suburbia', 'suburban', 'apartments', 'renters', 'residents']",17
194,"['oilproducing', 'oil', 'drilling', 'shale', 'fracking', 'gasoline', 'gasolines', 'production', 'geopolitical', 'demand']",16
195,"['perry', 'mason', 'episode', 'finale', 'caleb', 'matthew', 'hbo', 'detective', 'witness', 'dellas']",16
196,"['actor', 'simon', 'steve', 'samberg', 'netflix', 'sitcoms', 'eric', 'comedy', 'andy', 'keanu']",16
197,"['treatments', 'antibody', 'treatment', 'therapies', 'fda', 'trials', 'coronavirus', 'antiviral', 'clinical', 'covid']",16
198,"['florida', 'coronavirus', 'floridas', 'virus', 'crisis', 'surged', 'residents', 'inevitable', 'resident', 'spread']",16
199,"['olympics', 'olympic', 'ioc', 'olympians', 'tokyo', 'japan', '2021', 'postpone', 'sports', 'athletes']",16
200,"['livestreams', 'livestreaming', 'events', 'concerts', 'concert', 'festival', 'wednesdays', 'viewing', 'watch', 'appointment']",16
201,"['elections', 'election', 'polls', 'voters', 'electoral', 'news', 'gerrymandering', 'viewers', 'conversations', 'nov']",15
202,"['coronavirus', 'aerosols', 'infectious', 'infecting', 'virus', 'airborne', 'infect', 'influenza', 'infected', 'inhaled']",15
203,"['biden', 'secretary', 'appoint', 'bidens', 'cabinet', 'nominate', 'presidentelects', 'kerry', 'presidentelect', 'treasury']",15
204,"['coronavirus', 'viruss', 'tracers', 'tracing', 'virus', 'covid19', 'indias', 'suffering', 'india', 'exposed']",15
205,"['mayor', 'mayors', 'mayoral', 'dinkins', 'giuliani', 'candidate', 'rudy', 'york', 'leaders', 'yorks']",15
206,"['tennis', 'coco', 'gauffs', 'athlete', 'gymnast', 'gauff', 'swimmer', 'naomi', 'gymnasts', 'olympian']",15
207,"['neighbors', 'neighbor', 'distancing', 'harassment', 'socialdistancing', 'shoveling', 'enforce', 'befriended', 'shovel', 'complaint']",15
208,"['warren', 'elizabeth', 'hillary', 'clinton', 'warrens', 'candidates', 'campaign', 'her', 'michelle', 'nomination']",15
209,"['sunday', 'sundays', 'stories', 'writers', 'sea', 'read', 'greed', 'story', 'written', 'humility']",14
210,"['contest', 'essays', 'essay', 'writing', 'write', 'winners', 'stemwriting', 'words', 'narrative', 'ethics']",14
211,"['warming', 'climate', 'arctic', 'arctics', 'oceans', 'ocean', 'antarctica', 'seas', 'coldweather', 'sea']",14
212,"['protests', 'curfew', 'protest', 'protesters', 'curfewwidespread', 'demonstrators', 'nyc', 'manhattan', 'arrests', 'yorkers']",14
213,"['nobel', 'laureate', 'prize', 'neutrino', 'physicist', 'physicists', 'neutrinos', 'sciences', 'awarded', 'particle']",14
214,"['ban', 'travel', 'travelers', 'restriction', 'traveler', 'countries', 'trump', 'airports', 'overseas', 'nigeria']",14
215,"['polls', 'polling', 'pollsters', 'election', 'voters', 'bias', 'failures', 'poll', 'vote', 'democrats']",14
216,"['guitarist', 'halen', 'guitar', 'eddie', 'died', 'jazz', 'pianist', 'dies', 'dead', 'songwriter']",14
217,"['britons', 'britain', 'scotland', 'coronavirus', 'scotlands', 'boris', 'british', 'lockdown', 'austerity', 'england']",14
